node,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coefficient
0,0.0015873015873015873,0.0,0.0,5.3161460720833983e-14,0.00010061505853980175,0
1,0.00015873015873015873,0.00015873015873015873,0.0,7.974219108125098e-13,0.00010917398605861922,0
2,0.0009523809523809524,0.06083156852815248,0.0,0.0010547629594620145,0.00017116880733588808,0
3,0.01380952380952381,0.10612678761243759,0.017235200252786236,0.09376125043209742,0.0014181699785875226,0.008286554397219995
4,0.010952380952380953,0.1066821109247923,0.002734547209656349,0.11857818810374676,0.0015447615491227767,0.01875532821824382
5,0.013174603174603174,0.10969161063679023,0.002805543203026891,0.1700107854403138,0.0018239540797636209,0.0484866294446077
6,0.00015873015873015873,0.00015873015873015873,0.0,7.974219108125098e-13,0.00010917398605861922,0
7,0.009523809523809525,0.10693921269481235,0.0014134584379028106,0.1441753091163603,0.0014955078138058,0.05254237288135593
8,0.013333333333333332,0.10316591990552602,0.0053459953343669,0.06251495482206847,0.0012606249868507581,0.00717154331612163
9,0.009365079365079364,0.10239571146317447,0.002620399692573569,0.10214821541662407,0.001198468540417282,0.049094097019286964
10,0.0011111111111111111,0.08345765762920622,0.0,0.02533187660520233,0.0003107572910744247,0
703,0.002380952380952381,0.08217311616004426,0.007501060307318977,0.018993172702566462,0.00026635801039895314,0.0380952380952381
826,0.0006349206349206349,0.08182070097219643,0.0,0.018436681837798854,0.0002551539465463142,0
1097,0.0011111111111111111,0.0847980041073033,0.0,0.021489863291826058,0.00030588732120622315,0
1287,0.002698412698412698,0.08203014423110117,0.008122953473139297,0.019050949266252976,0.00028161737494289,0
1591,0.0019047619047619048,0.08473139137823237,0.0,0.021516427332730657,0.0003929454800259496,0
1895,0.00031746031746031746,0.08128339203051228,3.59011335717749e-05,0.018315873840007706,0.00022052084485795086,0
1896,0.002380952380952381,0.0841250369520694,0.0032525722628962447,0.021844032647360304,0.00029326593824984616,0.01904761904761905
1897,0.00015873015873015873,0.08128339203051228,0.0,0.018315873840007706,0.00022052084485795086,0
1898,0.0004761904761904762,0.0814499922946525,0.0,0.018380591902365455,0.00024070955634483194,0
1899,0.00031746031746031746,0.08149394803793078,0.0,0.01835747683158267,0.00023283194121715293,0
144,0.01253968253968254,0.10326477841878252,0.004127704951165736,0.07745584128519677,0.0013113363985150358,0.03343070431678027
258,0.00031746031746031746,0.08268083974719981,0.0,0.026645576194750758,0.0002530817948549188,0
491,0.001746031746031746,0.08499177813447475,0.0,0.02636701320155734,0.0003604451785972098,0
1021,0.001746031746031746,0.08454164467264905,0.0,0.030214850637316198,0.00037049382038905314,0
1418,0.00031746031746031746,0.08185618262916616,0.0,0.0232229797702973,0.0002431647560001845,0
1669,0.0020634920634920633,0.08406878483775843,0.002936316060371054,0.02394904394810169,0.0002865819898218685,0
1900,0.0011111111111111111,0.08355267752946029,0.0,0.02457489433575127,0.0003321300393876918,0
1901,0.0009523809523809524,0.08343556423966747,0.0,0.02727284142103752,0.00028865695260892017,0
1902,0.00015873015873015873,0.081608455314681,0.0,0.023167104539171705,0.0002312598507767206,0
1903,0.001746031746031746,0.08528885166273822,0.0,0.024266363582247836,0.0004772658319815221,0
121,0.008571428571428572,0.10306325806325807,0.0,0.0954583937836042,0.001206065426187191,0.017470300489168415
127,0.01507936507936508,0.11009182813035702,0.0052758400539690675,0.13149770705209393,0.0018568582711618506,0.027547592385218363
128,0.007936507936507936,0.10529095364264797,0.0,0.1320995987111985,0.0013070645403058926,0.014693877551020407
179,0.012698412698412698,0.10182899653741985,0.007066989257179806,0.06721466366297565,0.0012371386168342088,0.029746835443037974
247,0.011111111111111112,0.10519442286280942,0.0014582377877821492,0.10001985008667319,0.0012580196920789534,0.013664596273291925
249,0.014285714285714285,0.11388122076527873,0.008455057793488329,0.19997338445402177,0.002177444615709691,0.03545568039950062
264,0.014444444444444444,0.11108072542323756,0.010157774674651789,0.182871333502309,0.00199037802243687,0.021245421245421246
353,0.012698412698412698,0.10751841595627228,0.0019185017429719747,0.1503501115466999,0.0015909459884286927,0.04335443037974684
424,0.014603174603174604,0.10500406547177148,0.002167874842574915,0.08655422298221346,0.0014332704578041441,0.006450071667462972
426,0.003015873015873016,0.09606125045438024,0.0,0.06798744756138844,0.0006422982491976882,0.04093567251461988
145,0.014285714285714285,0.11185486452390367,0.006622350009352259,0.19842978241076226,0.0020465276122979673,0.04269662921348315
176,0.011904761904761904,0.10768725286926571,0.007755228724713754,0.1407458438507584,0.001619213440117877,0.02882882882882883
177,0.01253968253968254,0.10623140492173022,0.002627077038936062,0.12114490579428053,0.0014832456188431733,0.0451152223304122
753,0.003650793650793651,0.09285440747774573,0.0012595457893240557,0.07491753514262803,0.0006404231703290718,0.07509881422924901
754,0.008253968253968253,0.10385714285714286,0.0,0.12758941230135862,0.0012804418475646315,0.027149321266968326
762,0.004761904761904762,0.09983446351895266,0.00433613005973169,0.12270460808798285,0.0009840853947514665,0.03908045977011494
2064,0.0007936507936507937,0.08921675866376327,0.0,0.05018875800562024,0.000409849151053161,0.1
3002,0.0007936507936507937,0.08311772661508461,0.0,0.030299418661904883,0.00029614333802517026,0.1
520,0.0011111111111111111,0.08201623165016605,0.0,0.01518128794760844,0.0002953426769529769,0
665,0.002698412698412698,0.08511217492375114,0.0006378524685330876,0.022167997613533448,0.00031743981022917106,0.03676470588235294
852,0.003650793650793651,0.08305981131349993,0.004835358052422226,0.014634949611355344,0.00037589973567119634,0.007905138339920948
1394,0.0019047619047619048,0.08042959871513021,0.0003775538679064771,0.01650829786542247,0.00022529482563731333,0.07575757575757576
1786,0.0025396825396825397,0.08194994093962046,0.0009271938056015147,0.014556177872692037,0.00027847395160027205,0.03333333333333333
1842,0.003333333333333333,0.0824515473110948,0.0020891073990814257,0.014253052296991734,0.00040852253497265534,0
